,url,title,breadcrumbs,price,image,mpn
0,https://skygeek.com/ats-at402-8.html,"ATI® Tools ATI402Q-4 HSS 3/4"" OD & 1/4"" Pilot Hole 100° Back Countersink","['Home', 'Tools & Equipment', '100° Back Countersink', 'ATI® Tools ATI402Q-4 HSS 3/4"" OD & 1/4"" Pilot Hole 100° Back Countersink']",$35.24,https://cdn11.bigcommerce.com/s-jifykode7m/images/stencil/500x659/products/68935/124771/SGP96734_2_main__63165.1617383727.jpg?c=1,ATI402Q-4
1,https://skygeek.com/ats-at402-9.html,"ATI® Tools ATI402T-4 HSS 7/8"" OD & 3/8"" Pilot Hole 100° Back Countersink","['Home', 'Tools & Equipment', '100° Back Countersink', 'ATI® Tools ATI402T-4 HSS 7/8"" OD & 3/8"" Pilot Hole 100° Back Countersink']",$43.12,https://cdn11.bigcommerce.com/s-jifykode7m/images/stencil/500x659/products/37725/79833/SGP96736_1_main__94938.1617106547.jpg?c=1,ATI402T-4
2,https://skygeek.com/3m-048011-15408-roloc-and-plastic-holder-internal-threads.html,"3M™ Roloc™+ 15408 Black 1"" x 1/4-20 External Thread Holder 1","['Home', 'Clearance', '3M™ Roloc™+ 15408 Black 1"" x 1/4-20 External Thread Holder 1']",,https://cdn11.bigcommerce.com/s-jifykode7m/images/stencil/500x659/products/70657/73597/SGP3585_1_main__01701.1617075702.jpg?c=1,7000045946
3,https://skygeek.com/3m-04132-disc-holde.html,"3M™ 923 Black 3"" x 1/4-20 External Thread Firm Disc Pad Holder","['Home', 'Clearance', '3M™ 923 Black 3"" x 1/4-20 External Thread Firm Disc Pad Holder']",,https://cdn11.bigcommerce.com/s-jifykode7m/images/stencil/500x659/products/35418/73496/SGP3530_1_main__65502.1617075386.jpg?c=1,7000120560
4,https://skygeek.com/3m-051111-55764-hookit-disc-pad02700-3x1-2.html,"3M™ Hookit™ 02700 Yellow 3"" x 1/2"" x 5/16-24 External Firm Disc Pad","['Home', 'Clearance', '3M™ Hookit™ 02700 Yellow 3"" x 1/2"" x 5/16-24 External Firm Disc Pad']",,https://cdn11.bigcommerce.com/s-jifykode7m/images/stencil/500x659/products/55121/73810/SGP3997_1_main__99758.1617076414.jpg?c=1,7100001985
5,https://skygeek.com/3m-051144-45092-roloc-disc-pad-tr-med-3-in.html,"3M™ Roloc™ 45092 Black 3"" x 1/4-20 Internal Medium Disc Pad","['Home', 'Clearance', '3M™ Roloc™ 45092 Black 3"" x 1/4-20 Internal Medium Disc Pad']",,https://cdn11.bigcommerce.com/s-jifykode7m/images/stencil/500x659/products/39695/74435/SGP5366_1_main__42536.1617078354.jpg?c=1,7000000602
6,https://skygeek.com/eaton-aerospace-9038-chuck-clip-on-lb.html,"Dill Air Controls 9038 1/4"" NPT Female Large Bore Clip-On Air Chuck","['Home', 'Tools & Equipment', 'Air Chucks', 'Dill Air Controls 9038 1/4"" NPT Female Large Bore Clip-On Air Chuck']",$13.90,https://cdn11.bigcommerce.com/s-jifykode7m/images/stencil/500x659/products/77414/133024/SGP81420_1_main__20144.1627572200.jpg?c=1,9038
7,https://skygeek.com/eaton-aerospace-8860r-hose-chuck-assembly-for-8844-gauge.html,Dill Air Controls 8860R Hose & Chuck Assembly,"['Home', 'Tools & Equipment', 'Air Chucks', 'Dill Air Controls 8860R Hose & Chuck Assembly']",$41.65,https://cdn11.bigcommerce.com/s-jifykode7m/images/stencil/500x659/products/11380/89394/SGP79885_1_main__69007.1617144264.jpg?c=1,8860R
8,https://skygeek.com/tronair-h2016-07-chuck-inflator-air.html,Tronair® H-2016-07 Inflator Air Chuck,"['Home', 'Tools & Equipment', 'Air Chucks', 'Tronair® H-2016-07 Inflator Air Chuck']",$168.10,https://cdn11.bigcommerce.com/s-jifykode7m/images/stencil/500x659/products/63699/116850/SGP114518_1_main__83121.1617271782.jpg?c=1,H-2016-07
9,https://skygeek.com/tronair-14-6804-6000-kit-charging-and-guaging-high-pressure-nitrogen-0-3000-psi.html,Tronair® 14-6804-6000 Nitrogen High Pressure 0-2500 PSI Regulator (CE),"['Home', 'Tools & Equipment', 'Air Regulators', 'Tronair® 14-6804-6000 Nitrogen High Pressure 0-2500 PSI Regulator (CE)']","$1,817.97",https://cdn11.bigcommerce.com/s-jifykode7m/images/stencil/500x659/products/29412/122254/SGP15787_1_main__84062.1617288852.jpg?c=1,14-6804-6000
